gene,clone1_exp,clone2_exp,log2_fc,fdr
Ocstamp,0.00288156757275958,0.00698602794411178,-1.2776185622045,0.000171862884307788
Hdhd3,0.00374603784458746,0.00918163672654691,-1.29338587806282,0.000173281717064539
Fam175a,0.00499471712611661,0.0107784431137725,-1.10967392489043,0.000179749525556212
Tmem201,0.0054749783882432,0.0119760479041916,-1.12922672231183,0.000186412673357092
Gtpbp10,0.00557103064066852,0.0117764471057884,-1.07988819510232,0.000199513088206379
Acvr2b,0.00364998559216214,0.00958083832335329,-1.39226112814562,0.000203437441556691
Tmem45a,0.011142061281337,0.00479041916167665,1.21779235353836,0.000203805168135818
Brat1,0.00461050811641533,0.00998003992015968,-1.11411982992162,0.000206050802979859
Ccl24,0.00633944866007108,0.0137724550898204,-1.11935647828777,0.000209062945768114
1810024B03Rik,0.00220920180578235,0.00698602794411178,-1.66094720175601,0.000211505919163679
Zfp951,0.00374603784458746,0.0093812375249501,-1.32441277368344,0.000221427833067467
Zfp36l2,0.00489866487369129,0.0109780439121756,-1.16416051242122,0.000228028075040698
Zfp932,0.00585918739794448,0.0119760479041916,-1.03137939891369,0.000231791559424095
Casp9,0.0059552396503698,0.0127744510978044,-1.10102983048118,0.00023239826338486
Tbc1d25,0.00307367207761022,0.00718562874251497,-1.22515114231037,0.000237747334233612
Spint1,0.00393814234943809,0.00838323353293413,-1.08999155902873,0.000238691414303689
Chmp4c,0.00403419460186341,0.0093812375249501,-1.21749756976693,0.000240033785260905
Ccdc173,0.00576313514551916,0.012375249500998,-1.10253185564641,0.000240375240237994
Depdc1a,0.00537892613581788,0.0115768463073852,-1.10585221393802,0.000243102294427187
Sipa1l2,0.00585918739794448,0.0125748502994012,-1.10176872680508,0.0002433835312653
Efcab2,0.00566708289309384,0.0125748502994012,-1.14986301500613,0.000248277320669838
Snrpc,0.00489866487369129,0.0105788423153693,-1.11072125345976,0.000252987947189984
Mthfs,0.00758812794160023,0.0155688622754491,-1.0368476115532,0.000257238975173908
Rerg,0.00432235135913937,0.011377245508982,-1.39626305870312,0.000257443338416312
Gm12905,0.00393814234943809,0.00978043912175649,-1.31238398036518,0.000260468440496408
Trim32,0.00585918739794448,0.0121756487025948,-1.05522614086805,0.000261128035831128
Phf7,0.00691576217462299,0.0029940119760479,1.20780826496574,0.00027241921276361
Tbx2,0.00557103064066852,0.00239520958083832,1.21779235353836,0.000273080696845078
Nuak2,0.00336182883488618,0.00858283433133732,-1.35220787862518,0.000289495140936455
Nat2,0.00220920180578235,0.006187624750499,-1.48586049519792,0.000291014283901185
Prps1l3,0.00537892613581788,0.0109780439121756,-1.02923093233511,0.000291797786527168
Sft2d1,0.00528287388339257,0.0111776447105788,-1.081221349401,0.000296405866354089
Gfra2,0.00470656036884065,0.00199600798403194,1.23755560835979,0.000296417706225052
