xcoord,ycoord,dna_cluster
1701.57,1963.715,3
2690.22,1102.4,2
1218.88,2553.59,2
2903.68,1543.035,2
785.135,2633.02,0
2792.4,876.2,2
2398.63,3022.955,3
1986.14,3056.04,3
3418.285,1537.64,2
2549.105,2843.815,3
2525.25,2867.475,3
3089.645,2116.855,2
3374.54,1508.39,2
2046.265,3178.045,0
2594.475,3198.13,0
3117.79,1675.57,2
2037.815,3176.355,0
3347.76,2014.35,0
3153.8,1494.545,2
3094.845,1664.26,3
3326.57,2009.54,1
2578.94,1865.11,1
3473.925,1681.42,2
2305.875,3092.115,3
3336.06,1396.785,2
2753.14,993.005,2
1370.655,1651.65,2
1622.335,3310.385,0
2656.94,2738.58,3
3255.98,1759.615,2
1179.555,2737.605,2
2372.37,3125.33,3
3057.145,1308.19,2
3126.435,1181.57,2
2179.385,3262.74,0
3120.585,1623.375,3
2514.525,2421.51,3
3229.655,1670.11,2
3010.67,1759.68,2
2525.835,3002.35,3
2449.2,3435.575,0
1222.585,2543.45,2
2230.8,2776.02,0
2814.825,1521.845,1
3127.54,1502.735,3
2401.62,3074.955,3
2958.28,1012.115,2
913.9,2853.435,0
2821,2520.44,2
3206.71,1704.04,3
2660.45,958.555,2
2553.98,2782.715,3
2755.74,3288.935,0
1879.28,725.92,2
2742.415,2446.795,3
1209.065,2654.86,2
954.915,2796.235,0
2679.885,1127.23,2
938.21,2342.665,2
2260.83,2793.505,3
2360.995,3014.895,3
2449.655,2900.625,3
2756.52,1507.545,1
2499.055,2670.265,3
765.7,2317.705,2
2893.475,1459.055,2
2743.325,914.615,0
1371.305,3247.205,0
3255.915,1713.4,3
3044.535,1626.43,2
2643.225,1047.865,2
2960.685,1435.85,2
3027.895,1516.125,2
3023.28,1279.98,2
3380.715,2117.18,2
1184.755,2978.365,0
1535.56,3223.285,0
2392.52,2420.21,0
2705.04,1843.27,2
2200.055,3170.05,0
3017.17,1134.9,2
3541.72,2021.045,0
2810.015,1402.7,3
2751.255,2203.89,2
2635.36,1057.81,2
2919.215,1333.93,0
2624.765,3369.015,0
2735.07,2714.14,3
2130.96,3123.965,0
3016.975,1317.03,2
1446.12,3207.88,0
3245.06,1327.105,1
2007.07,3365.44,0
2311.14,3113.37,3
3037.71,1452.035,2
3271.84,1338.61,1
2060.11,3099.915,3
1280.695,3124.225,0
2414.23,3066.7,3
3416.725,1615.965,1
3430.05,1512.29,2
3051.36,1600.495,2
2226.445,3502.33,0
2840.825,1094.145,1
3237.325,1305.72,1
1950.195,1053.845,2
2968.485,2117.7,2
1958.645,3468.465,0
3094,1345.825,2
2397.915,2852.72,3
1236.82,3134.3,0
2262.065,2967.64,3
2377.96,3070.47,3
2130.505,3201.25,0
2266.81,3152.76,3
2141.035,3066.83,3
2686.84,2857.53,3
2209.87,3165.695,0
1512.81,2988.375,2
1232.985,2978.3,0
1962.61,3293.485,0
2513.095,2474.875,3
2249.195,2851.29,3
3507.4,1740.57,1
2478.84,3361.085,0
1404.26,3231.345,0
1272.635,2716.805,2
2822.365,1201.98,0
